Model,Accuracy,Precision,Recall,F1-Score
IndoBERT Baseline,0.9235474006116208,0.9237989798201232,0.9235474006116208,0.9229126722958
IndoBERT + SMOTE,0.9697247706422019,0.9792269186093306,0.9881957186544342,0.978287432633548
IndoBERT + Ensemble,0.9235474006116208,0.9237989798201232,0.9235474006116208,0.9229126722958
IndoBERT + Attention,0.926605504587156,0.9273491941900697,0.926605504587156,0.9268325766538802
IndoBERT + All,0.926605504587156,0.92799015012204,0.926605504587156,0.9256796772273458
